Location,Densité,Population,0-4 ans,5-9 ans,Population_m,Population_f,Anglais,Français,Anglais et français,Ni anglais ni français,  Citoyens canadiens,Pas citoyens canadiens,  Non-immigrants,  Immigrants,  Résidents_NP,    Certificat_universite,  Population active,  Population inactive
Ahuntsic-Cartierville,"5,556","134,245","8,610","7,855","64,405","69,835","7,935","44,470","72,395","3,920","110,870","17,840","74,505","51,940","2,265","33,405","65,940","40,135"
Anjou,"3,128","42,800","2,440","2,605","19,850","22,950",860,"20,215","19,910",730,"37,505","4,205","27,410","13,955",350,"7,135","20,010","14,450"
Côte-des-Neiges–Notre-Dame-de-Grâce,"7,767","166,515","9,495","9,285","79,630","86,885","38,970","19,915","100,165","4,065","126,560","36,555","76,495","76,215","10,405","57,755","86,860","49,465"
Lachine,"2,511","44,485","2,535","2,470","21,360","23,125","5,315","10,380","26,325",490,"39,430","3,075","32,590","9,580",335,"8,300","22,940","12,375"
LaSalle,"4,724","76,860","4,455","4,290","36,440","40,420","13,810","15,345","43,935","2,065","66,420","8,730","46,860","26,945","1,345","13,165","38,085","24,590"
Le Plateau-Mont-Royal,"12,792","104,000","4,920","3,795","52,925","51,075","10,630","18,810","70,700","1,370","81,520","19,985","66,120","24,320","11,070","47,765","65,735","24,220"
Le Sud-Ouest,"4,984","78,150","4,255","3,470","38,695","39,460","8,665","18,865","47,595","1,260","68,790","7,600","55,050","19,185","2,150","21,945","43,890","21,920"
L'Île-Bizard–Sainte-Geneviève,780,"18,410",865,980,"8,995","9,415","1,895","2,735","12,910",240,"16,775","1,005","13,140","4,480",165,"4,315","10,175","4,680"
Mercier–Hochelaga-Maisonneuve,"5,353","136,020","7,510","6,125","67,520","68,500","2,500","59,860","67,955","1,395","120,985","10,725","101,940","27,615","2,155","27,500","73,745","39,475"
Montréal-Nord,"7,623","84,235","5,685","5,420","39,890","44,345","2,175","44,130","33,105","2,200","70,000","11,610","46,530","34,005","1,085","7,735","37,015","28,990"
Outremont,"6,222","23,955","1,780","1,915","11,280","12,680","3,165","3,060","16,160",820,"20,465","2,745","16,550","5,735",925,"9,855","11,715","6,050"
Pierrefonds-Roxboro,"2,561","69,300","3,690","4,330","33,600","35,705","13,745","7,965","45,550","1,575","62,490","6,350","40,580","27,745",505,"15,755","36,945","19,410"
Rivière-des-Prairies–Pointe-aux-Trembles,"2,525","106,740","5,425","5,860","51,085","55,655","2,145","48,275","51,660","1,740","99,440","4,375","78,330","25,130",355,"11,230","54,915","32,095"
Rosemont–La Petite-Patrie,"8,807","139,590","7,845","6,540","67,000","72,585","3,140","49,615","81,890","1,580","122,355","13,865","101,810","30,620","3,790","42,730","81,110","35,765"
Saint-Laurent,"2,311","98,825","6,995","6,900","47,805","51,020","15,600","19,140","57,905","4,750","80,415","16,975","42,925","52,180","2,285","27,320","47,545","30,090"
Saint-Léonard,"5,805","78,305","5,915","5,485","37,020","41,280","3,135","31,860","38,960","3,020","66,170","10,805","38,695","37,360",925,"10,860","36,140","25,430"
Verdun,"7,126","69,225","3,940","3,330","33,280","35,945","7,115","14,630","44,495","1,090","59,660","7,670","49,155","16,320","1,860","22,460","38,620","19,000"
Ville-Marie,"5,398","89,175","3,080","1,945","48,725","40,445","15,595","14,085","54,920","1,950","64,885","21,670","47,090","27,410","12,060","38,845","51,385","28,665"
Villeray–Saint-Michel–Parc-Extension,"8,724","143,860","9,375","8,405","71,425","72,430","12,970","50,425","71,940","7,350","120,595","22,090","77,820","60,205","4,660","29,630","75,470","42,860"
Baie-D'Urfé,636,"3,820",125,190,"1,850","1,975",775,70,"2,830",40,"3,390",325,"2,650",960,100,"1,500","1,795","1,325"
Beaconsfield,"1,760","19,325",865,"1,180","9,415","9,910","3,780",395,"14,700",150,"17,970","1,060","14,440","4,425",160,"7,540","9,890","5,705"
Côte-Saint-Luc,"4,676","32,450","1,885","2,020","14,910","17,540","8,415","2,145","20,160",705,"27,350","4,075","16,555","14,090",785,"10,375","14,340","11,410"
Dollard-Des Ormeaux,"3,223","48,895","2,245","2,715","23,780","25,120","12,315","2,300","32,645","1,015","45,255","3,020","28,775","19,130",370,"12,530","25,850","14,450"
Dorval,910,"18,980",810,885,"9,265","9,715","3,670","1,350","13,340",210,"17,510","1,055","13,560","4,810",190,"4,625","10,795","5,215"
Hampstead,"3,904","6,970",365,430,"3,355","3,620","1,425",340,"5,090",110,"6,375",595,"4,775","1,980",205,"3,015","3,720","1,945"
Kirkland,"2,094","20,150",705,"1,105","9,765","10,385","3,780",555,"15,340",260,"18,980",950,"14,100","5,740",95,"6,655","11,245","5,585"
Montréal-Est,309,"3,850",230,210,"1,970","1,880",40,"2,280","1,385",10,"3,600",120,"3,365",325,25,220,"2,045","1,075"
Montréal-Ouest,"3,597","5,050",265,325,"2,455","2,595",980,140,"3,870",50,"4,745",295,"3,805","1,190",50,"2,185","2,710","1,405"
Mont-Royal,"2,652","20,275","1,095","1,425","9,720","10,550","1,685","2,285","15,585",300,"17,685","2,175","12,370","6,945",540,"8,980","10,095","5,710"
Pointe-Claire,"1,666","31,380","1,370","1,600","14,745","16,640","7,095","1,280","21,355",330,"28,200","1,865","21,720","7,945",405,"9,260","15,755","9,570"
Sainte-Anne-de-Bellevue,470,"4,955",150,175,"2,490","2,470",785,250,"3,405",30,"3,975",495,"3,510",680,280,"1,430","2,685","1,215"
Senneville,123,925,35,40,440,475,145,40,730,0,840,80,670,240,15,350,450,335
Westmount,"5,055","20,315",785,"1,080","9,395","10,920","3,925",525,"15,165",165,"17,190","2,590","13,370","5,265","1,150","10,150","9,755","7,000"
